CVE_ENT,ENTIDAD,PIB_2022,porcentaje,desempleo
01,Aguascalientes,316500.2,1.3,3.17738151
02,Baja California,929458.734,3.8,2.43888782
03,Baja California Sur,177420.703,0.7,3.18615749
04,Campeche,473100.974,2,1.81924446
05,Coahuila de Zaragoza,922287.365,3.8,3.87742458
06,Colima,148129.754,0.6,2.55965326
07,Chiapas,368788.557,1.5,2.47877126
08,Chihuahua,919617.144,3.8,2.81497544
09,Distrito Federal,3640387.943,15,4.06649644
10,Durango,296963.122,1.2,3.0968583
11,Guanajuato,1128686.273,4.7,3.17500295
12,Guerrero,306830.767,1.3,1.14981711
13,Hidalgo,426819.094,1.8,2.61026238
14,Jalisco,1783505.051,7.4,2.96040795
15,México,2184862.979,9,4.0276052
16,Michoacán de Ocampo,646901.483,2.7,1.96522439
17,Morelos,256739.579,1.1,2.33036086
18,Nayarit,161868.678,0.7,2.30656884
19,Nuevo León,1945060.16,8,3.21641386
20,Oaxaca,407238.094,1.7,1.93502967
21,Puebla,820789.745,3.4,2.63941318
22,Querétaro,592138.818,2.4,2.91510315
23,Quintana Roo,357538.613,1.5,2.74015944
24,San Luis Potosí,537933.222,2.2,3.06639891
25,Sinaloa,516711.158,2.1,3.0103225
26,Sonora,804668.176,3.3,2.93751345
27,Tabasco,635464.529,2.6,3.98275201
28,Tamaulipas,746945.744,3.1,3.31719673
29,Tlaxcala,143717.417,0.6,3.68407131
30,Veracruz de Ignacio de la Llave,1032888.986,4.3,1.98404785
31,Yucatán,369864.392,1.5,2.09372688
32,Zacatecas,221026.458,0.9,2.35833993
